fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_S_dioxide,total_S_dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,2.82,0.178,1.14,11,51.2,0.9978,3.51,0.56,2.95,5
7.8,0.88,2.16,1.36,2.14,25,45.1,0.9968,3.2,0.68,7.04,5
7.8,0.76,2.21,3.08,1.02,15,43.7,0.997,3.26,0.65,2.14,5
11.2,0.28,0.745,7.15,1.09,17,48.6,0.998,3.16,0.58,8.64,6
7.4,0.7,1.7,0.294,1.81,11,51.8,0.9978,3.51,0.56,19.2,5
7.4,0.66,2.06,2.48,1.8,13,43.7,0.9978,3.51,0.56,8.5,5
7.9,0.6,0.608,3.32,1.25,15,47.1,0.9964,3.3,0.46,12.7,5
7.3,0.65,0.903,1.46,0.25,15,39.6,0.9946,3.39,0.47,12.7,7
7.8,0.58,1.75,5.59,1.87,9,47.1,0.9968,3.36,0.57,13.8,7
7.5,0.5,2.21,2.86,1.54,17,39.8,0.9978,3.35,0.8,15.5,5
6.7,0.58,0.0203,7.95,1.1,15,40.6,0.9959,3.28,0.54,16.2,5
7.5,0.5,1.55,0.856,1.62,17,40.2,0.9978,3.35,0.8,5.19,5
5.6,0.615,1.3,6.03,1.53,16,51,0.9943,3.58,0.52,11.6,5
7.8,0.61,0.866,3.35,0.499,9,44.9,0.9974,3.26,1.56,11.5,5
8.9,0.62,1.3,0.761,1.83,52,39.9,0.9986,3.16,0.88,9.78,5
8.9,0.62,1.16,3.37,3.03,51,51.7,0.9986,3.17,0.93,2.61,5
8.5,0.28,2.78,2,0.603,35,35.4,0.9969,3.3,0.75,12.3,7
8.1,0.56,2.6,6.64,0.528,16,39,0.9968,3.11,1.28,1.77,5
7.4,0.59,3.53,4.22,1.11,6,50.4,0.9974,3.38,0.5,0.816,4
7.9,0.32,1.14,7.61,4.47,17,45.9,0.9969,3.04,1.08,19.4,6
8.9,0.22,0.244,1.33,1.73,29,45.2,0.9968,3.39,0.53,6.78,6
7.6,0.39,3.27,2.44,0.43,23,48.7,0.9982,3.52,0.65,4.34,5
7.9,0.43,2.09,4.45,0.741,10,48.8,0.9966,3.17,0.91,3.97,5
8.5,0.49,1.02,6.12,0.236,9,52.4,0.9968,3.17,0.53,20.3,5
6.9,0.4,1.2,0.421,0.492,21,47.1,0.9968,3.43,0.63,7.46,6
6.3,0.39,2.55,9.18,4.51,11,46.6,0.9955,3.34,0.56,4.69,5
7.6,0.41,2.23,1.74,4.06,4,43.2,0.9962,3.28,0.59,18.1,5
7.9,0.43,1.25,0.432,1.36,10,39.9,0.9966,3.17,0.91,17.6,5
7.1,0.71,4.29,6.27,0.104,14,55,0.9972,3.47,0.55,9.02,5
7.8,0.645,1.11,9.73,2.93,8,43.5,0.9964,3.38,0.59,8.52,6
6.7,0.675,2.45,6.89,0.654,17,39.5,0.9958,3.35,0.54,23,5
6.9,0.685,2.81,1.24,0.879,22,46.2,0.9966,3.46,0.57,6.32,6
8.3,0.655,4.97,2.16,2.48,15,47.7,0.9966,3.17,0.66,12.1,5
6.9,0.605,0.554,0.14,0.728,40,50,0.9993,3.45,0.52,14.4,6
5.2,0.32,0.807,0.885,0.414,13,44.5,0.9957,3.38,0.55,12.1,5
7.8,0.645,0.308,0.043,0.166,5,55.1,0.9986,3.4,0.55,9.51,6
7.8,0.6,0.877,8.14,0.803,3,42.2,0.9975,3.42,0.6,6.83,6
8.1,0.38,2.16,2.29,0.554,13,46.6,0.9968,3.23,0.73,11.4,7
5.7,1.13,1.87,6.67,0.418,7,46.2,0.994,3.5,0.48,6.8,4
7.3,0.45,2.92,2.36,0.39,12,46.3,0.9978,3.33,0.83,15.4,5
7.3,0.45,0.808,3.59,3.56,12,39.3,0.9978,3.33,0.83,9.72,5
8.8,0.61,0.752,1.76,0.412,17,47.8,0.9976,3.26,0.51,15.9,4
7.5,0.49,2.22,4.66,1.62,8,43.9,0.9968,3.21,0.9,13.5,6
8.1,0.66,2.82,3.55,0.452,9,41,0.9968,3.3,1.2,9.02,5
6.8,0.67,0.653,3.89,1.88,5,49.9,0.9962,3.48,0.52,15.1,5
4.6,0.52,2.36,3.4,3.61,8,48.2,0.9934,3.9,0.56,17.4,4
7.7,0.935,2.69,0.837,0.363,22,43,0.997,3.25,0.73,9.83,5
8.7,0.29,0.424,1.91,1.5,12,49,0.9969,3.25,0.58,11.2,5
6.4,0.4,0.0237,4.44,3.31,5,42.6,0.9958,3.34,0.56,11.4,5
5.6,0.31,1.12,2.91,2.59,12,53.1,0.9954,3.32,0.58,4.38,5
8.8,0.66,1.8,0.867,1.23,4,51.5,0.9971,3.15,0.74,16,5
6.6,0.52,2.4,5.48,1.47,8,46.7,0.9956,3.4,0.63,6.89,6
6.6,0.5,1.54,4.26,1.31,6,47,0.9955,3.39,0.64,3.34,6
8.6,0.38,2.1,1.61,2.34,30,47.4,0.997,3.2,0.56,4.68,5
7.6,0.51,2.81,3.14,0.0885,33,60.3,0.9955,3.17,0.63,2.44,6
7.7,0.62,1.58,6.66,3.54,25,48.9,0.9978,3.34,0.53,7.91,5
10.2,0.42,0.948,1.18,1.85,4,45.1,0.9971,3.04,0.63,0.557,5
7.5,0.63,2.16,2.26,1.58,50,53.8,0.9983,3.26,0.77,20.3,5
7.8,0.59,1.6,2.12,1.84,17,38.5,0.9975,3.43,0.59,9.53,5
7.3,0.39,0.342,7.81,0.763,9,47.6,0.9962,3.41,0.54,9.37,6
8.8,0.4,1.12,1.83,0.77,19,49.5,0.998,3.44,0.64,14.4,5
7.7,0.69,2.04,2.19,1.39,20,42.9,0.9968,3.21,0.71,13.1,5
7.5,0.52,0.818,1.13,1.17,12,46,0.9968,3.38,0.62,0.134,7
7,0.735,0.721,2.13,1.07,13,49.1,0.9966,3.39,0.57,12.3,5
7.2,0.725,2.19,3.94,0.0899,4,51.7,0.9962,3.41,0.39,3.7,5
7.2,0.725,0.131,6.14,1.35,4,47.1,0.9962,3.41,0.39,15.3,5
7.5,0.52,2.2,5.18,3.07,11,46.6,0.9968,3.42,0.58,5.47,5
6.6,0.705,0.489,3.97,0.355,6,43.5,0.9962,3.44,0.58,20.4,5
9.3,0.32,2.28,3.98,0.49,27,47.9,0.9969,3.28,0.79,4.28,5
8,0.705,1.08,2.79,1.63,8,43.4,0.9962,3.34,0.95,16.9,6
7.7,0.63,2.1,3.42,2.48,15,49.9,0.9967,3.32,0.54,13.4,6
7.7,0.67,0.492,7.29,1.67,17,44.5,0.9962,3.32,0.48,4.55,5
7.7,0.69,0.521,4.89,1.06,18,41.8,0.9961,3.31,0.48,13.9,5
8.3,0.675,0.238,0.908,1.81,11,34.4,0.9976,3.31,0.53,2.44,4
9.7,0.32,2.57,9.76,1.57,28,53.1,0.9984,3.28,0.82,2.17,5
8.8,0.41,1.55,0.142,1.37,9,59.1,0.9986,3.54,0.66,13.3,5
8.8,0.41,2.11,4.49,0.631,9,47.3,0.9986,3.54,0.66,6.81,5
6.8,0.785,1,7.11,1.42,14,49.3,0.9966,3.52,0.55,12.4,6
6.7,0.75,0.368,1.24,3.06,12,37.3,0.9958,3.38,0.52,18.6,5
8.3,0.625,3.75,1.34,0.38,27,45,0.9972,3.16,1.12,9.83,4
6.2,0.45,1.79,3.88,0.651,3,38,0.9958,3.41,0.56,14,5
7.8,0.43,2.5,5.22,3.8,22,38.5,0.9974,3.13,1.28,17.5,5
7.4,0.5,0.791,0.543,0.579,21,41.6,0.997,3.36,0.57,9.74,5
7.3,0.67,1.38,0.114,0.944,16,33.7,0.9969,3.16,1.14,9.05,5
6.3,0.3,2.57,7.63,1.08,18,60.2,0.9959,3.44,0.78,9.52,6
6.9,0.55,0.564,6.38,0.26,19,55.5,0.9961,3.41,0.59,18.3,5
8.6,0.49,1.24,2.14,1.8,20,55.8,0.9972,2.93,1.95,1.29,6
7.7,0.49,1.77,2.75,0.671,9,44.3,0.9966,3.39,0.64,10.9,5
9.3,0.39,1.09,4.42,0.162,34,49.5,0.9978,3.14,1.22,3.5,5
7,0.62,0.366,2.72,0.369,8,51.4,0.9978,3.48,0.53,7.59,5
7.9,0.52,1.37,7.59,0.189,42,51.3,0.9964,3.23,0.54,13.5,5
8.6,0.49,1.91,5.65,4.16,20,47.3,0.9972,2.93,1.95,17.2,6
8.6,0.49,1.59,8.09,0.276,19,44.5,0.9972,2.93,1.98,2.67,5
7.7,0.49,1.73,3.56,0.766,9,39.9,0.9966,3.39,0.64,4.52,5
5,1.02,1.32,0.576,3.73,41,53.2,0.9938,3.75,0.48,14.3,4
4.7,0.6,1.2,4.11,2.93,17,59,0.9932,3.85,0.6,16.5,6
6.8,0.775,0.828,6.38,3.28,8,44.8,0.9965,3.45,0.56,19.8,5
7,0.5,2.07,5.59,2.11,3,49.9,0.9963,3.25,0.63,11.6,5
7.6,0.9,1.47,2.67,0.269,5,46.1,0.9967,3.39,0.56,7.84,5
8.1,0.545,1.36,0.0395,1.4,13,49.9,0.9972,3.3,0.59,8.53,6
8.3,0.61,0.149,1.03,2.99,11,46.9,0.9972,3.4,0.61,7.08,6
7.8,0.5,0.0332,4.84,1.52,8,48.2,0.9959,3.31,0.56,10.5,6
8.1,0.545,0.8,6.42,1.1,13,54.1,0.9972,3.3,0.59,10.4,6
8.1,0.575,1.65,2.25,0.578,12,47.5,0.9967,3.29,0.51,15.4,5
7.2,0.49,1.82,0.935,1.93,5,42.2,0.996,3.33,0.48,7.14,5
8.1,0.575,1.43,4.26,1.32,12,41.6,0.9967,3.29,0.51,11.9,5
7.8,0.41,1.59,5.87,0.435,18,50.2,0.9973,3.08,1.31,16.4,5
6.2,0.63,2.82,0.18,0.896,15,47.4,0.9969,3.46,0.79,2.18,5
8,0.33,2.33,4.73,2.29,18,37.7,0.9976,3.37,0.8,22.7,6
8.1,0.785,3.05,0.537,0.873,37,46.4,0.9969,3.21,0.69,4.33,5
7.8,0.56,0.72,3.31,0.00172,12,47.8,0.9964,3.19,0.93,10,5
8.4,0.62,0.0988,0.489,0.334,11,43.5,0.9964,3.15,0.66,4.54,5
8.4,0.6,0.468,0.795,0.836,14,36.5,0.9964,3.15,0.66,19.2,5
10.1,0.31,1.65,3.12,1.78,22,45,0.9988,3.32,0.67,8.27,6
7.8,0.56,1.67,5.51,1.27,12,39.3,0.9964,3.19,0.93,11.1,5
9.4,0.4,0.836,2.13,0.0576,13,37.1,0.9966,3.07,0.63,13.6,6
8.3,0.54,3.89,2.84,3.38,11,50.4,0.9978,3.39,0.61,11.9,6
7.8,0.56,0.662,6.1,0.323,7,46.4,0.997,3.37,0.5,13.6,6
8.8,0.55,0.778,1.73,0.172,14,36.1,0.9962,3.21,0.6,11.8,6
7,0.69,1.2,2.03,1.3,22,39.2,0.9959,3.34,0.54,21,6
7.3,1.07,1.65,2.77,2.38,10,43.8,0.9962,3.3,0.57,17.1,5
8.8,0.55,2.82,2.77,0.651,14,46.8,0.9962,3.21,0.6,13.8,6
7.3,0.695,0.866,2.26,1.66,3,44.3,0.998,3.49,0.52,8.21,5
8,0.71,0.704,3.11,0.25,11,49.4,0.9976,3.44,0.53,6.72,5
7.8,0.5,1.01,1.48,0.291,21,38.4,0.996,3.39,0.48,18.5,5
9,0.62,0.79,4.6,0.514,27,52.1,0.9984,3.16,0.7,11.5,5
8.2,1.33,0.172,6.12,0.0445,3,45.9,0.9964,3.53,0.49,2.33,5
8.1,1.33,3.83,8.76,2.48,3,44.3,0.9964,3.54,0.48,5.25,5
8,0.59,3.63,6.42,3.06,3,41.2,0.9962,3.42,0.92,10,7
6.1,0.38,1.68,6.41,0.183,6,44.2,0.9955,3.42,0.57,17.2,5
8,0.745,0.15,2.86,0.249,30,43.2,0.9968,3.24,0.66,14.2,5
5.6,0.5,3.86,1.36,2.7,17,50.7,0.9937,3.63,0.63,1.56,5
5.6,0.5,0.161,4.59,1.45,17,39.9,0.9937,3.63,0.63,7.77,5
6.6,0.5,1.71,6.1,2.67,17,41.4,0.9952,3.4,0.58,4.49,6
7.9,1.04,0.586,0.834,2.01,13,57.6,0.9959,3.22,0.55,17.8,6
8.4,0.745,2.22,3.24,2.62,16,50.3,0.9965,3.19,0.82,21,5
8.3,0.715,2.33,4.36,0.197,10,40.2,0.9968,3.23,0.77,15.7,5
7.2,0.415,2.15,2.79,0.0871,13,39.4,0.9972,3.48,0.64,4.52,5
7.8,0.56,2.46,1.03,1.6,15,38.4,0.9962,3.33,0.54,22.1,5
7.8,0.56,2.64,2.75,1.88,17,41.5,0.9962,3.32,0.54,14.9,5
8.4,0.745,0.339,0.839,0.429,16,44,0.9965,3.19,0.82,17.4,5
8.3,0.715,0.528,4.4,1.37,10,49.3,0.9968,3.23,0.77,19,5
5.2,0.34,3.13,2.5,1.24,27,49.6,0.9916,3.68,0.79,17.5,6
6.3,0.39,2.32,2.67,1.92,3,45.5,0.9954,3.34,0.58,9.42,5
5.2,0.34,1.75,1.57,3,27,52.2,0.9916,3.68,0.79,8.84,6
8.1,0.67,1.08,5.54,0.737,32,45.5,0.9968,3.17,0.62,16.4,5
5.8,0.68,2.71,1.49,0.946,21,47.5,0.9944,3.54,0.52,16.8,5
7.6,0.49,0.672,0.914,0.654,10,39.1,0.9968,3.11,0.8,0.673,5
6.9,0.49,2.23,3.88,0.843,12,52.4,0.9959,3.42,0.58,11.4,6
8.2,0.4,3.35,1.18,1.51,11,46.8,0.9975,3.53,0.61,11.1,6
7.3,0.33,2.89,3.65,3.16,5,48.7,0.9958,3.33,0.53,10.7,6
9.2,0.52,0.267,6.11,3.09,32,48,0.9996,2.74,2,1.23,4
7.5,0.6,3.59,6.06,0.583,25,46.4,0.995,3.35,0.54,7.28,5
7.5,0.6,1.63,3.35,1.69,25,44.3,0.995,3.35,0.54,0.722,5
7.1,0.43,2.68,0.258,2.63,29,48.9,0.9973,3.42,0.72,10,5
7.1,0.43,2.72,7.17,1,28,41.5,0.9973,3.42,0.71,10.5,5
7.1,0.43,2.54,3.23,0.69,29,48.2,0.9973,3.42,0.72,2.32,5
7.1,0.43,2.06,2.44,2.04,28,47.7,0.9973,3.42,0.71,9.56,5
7.1,0.68,2.44,4.46,0.127,12,46.8,0.9969,3.48,0.5,10.1,5
6.8,0.6,0.409,2.63,0.71,18,45.9,0.9968,3.59,0.57,0.869,6
7.6,0.95,2.89,8.82,1.91,7,36,0.9959,3.2,0.56,3.42,5
7.6,0.68,1.28,1.42,2.96,9,39.4,0.9965,3.17,1.08,13.7,4
7.8,0.53,1.46,7.92,0.315,17,43.5,0.9964,3.33,0.56,7.8,6
7.4,0.6,1.49,4.17,0.622,36,44.7,0.9982,3.37,0.49,16,5
7.3,0.59,0.862,0.464,0.843,35,38.1,0.9981,3.37,0.49,3.2,5
7.8,0.63,3.26,1.49,1.6,14,55.2,0.9961,3.19,0.62,21,5
6.8,0.64,2.91,8.77,1.52,18,44.9,0.9956,3.34,0.52,6.45,5
7.3,0.55,2.85,7.24,0.0653,17,45.9,0.9956,3.37,0.48,4.15,4
6.8,0.63,1.21,6.44,0.791,11,50.5,0.9953,3.47,0.55,12.6,6
7.5,0.705,1.64,3.36,0.636,15,40.6,0.9964,3,1.59,9.13,5
7.9,0.885,2.34,5.32,0.569,4,48.6,0.9972,3.36,0.33,13,4
8,0.42,2.67,6.57,0.249,6,47.4,0.9972,3.29,0.61,4.07,6
8,0.42,1.77,0.454,2.37,6,37.7,0.9972,3.29,0.61,3.11,6
7.4,0.62,1.39,0.545,0.522,24,41.3,0.9961,3.42,0.57,10.3,6
7.3,0.38,1.37,1.69,0.313,7,51.9,0.9961,3.33,0.47,15.9,5
6.9,0.5,1.29,0.734,3.53,19,50.5,0.9958,3.35,0.78,14.9,5
7.3,0.38,1.41,0.527,0.876,7,40.1,0.9961,3.33,0.47,5.55,5
7.5,0.52,1.61,1.19,0.0768,8,46.7,0.9972,3.58,0.61,6.85,6
7,0.805,0.189,8.74,4.62,7,46.9,0.9969,3.48,0.56,2.44,5
8.8,0.61,0.596,1.91,1.05,10,44.7,0.9969,3.19,0.59,18.4,5
8.8,0.61,1.54,5.15,0.192,10,56.5,0.9969,3.19,0.59,11,5
8.9,0.61,0.246,0.241,0.542,23,39.2,0.9972,3.12,1.02,11.3,5
7.2,0.73,1.2,0.407,2.45,16,51.2,0.9972,3.44,0.52,6.46,5
6.8,0.61,1.59,2.99,2.61,11,36.5,0.9971,3.54,0.58,5.92,5
6.7,0.62,3.32,1.92,0.885,8,41.6,0.997,3.52,0.58,10.1,6
8.9,0.31,1.05,2.59,2.28,26,49.4,0.9971,3.26,0.53,20.2,5
7.4,0.39,2.56,8.39,0.943,14,46.3,0.9972,3.34,0.55,11.4,5
7.7,0.705,0.737,2.06,2.78,9,46,0.9976,3.39,0.49,9.97,5
7.9,0.5,2.57,3.73,1.13,15,35.4,0.9968,3.2,0.55,2.55,5
7.9,0.49,1.87,0.985,1.09,17,41,0.9968,3.2,0.55,16.4,5
8.2,0.5,1.33,0.758,4.03,21,51.7,0.9976,3.23,0.62,24.8,5
6.4,0.37,2.54,6.98,2.75,21,43.9,0.9974,3.57,0.62,11.1,6
6.8,0.63,1.08,0.339,6.49,16,53.7,0.9969,3.28,0.61,5.37,5
7.6,0.55,1.04,2.98,1.76,7,42.9,0.9964,3.28,0.55,23.7,5
7.6,0.55,1.54,1.19,0.4,7,50.1,0.9964,3.28,0.55,10.8,5
7.8,0.59,1.44,0.961,3.58,24,49.1,0.9968,3.25,0.54,11.1,5
7.3,0.58,2.84,6.54,0.463,15,39.8,0.9968,3.46,0.59,8.64,5
11.5,0.3,0.357,3.84,2.95,12,48.5,0.9981,3.11,0.97,4.96,6
5.4,0.835,1.07,4.59,2.51,13,44.4,0.9924,3.57,0.85,5.15,7
6.9,1.09,1.06,2.36,1.54,12,52,0.9948,3.51,0.43,15.1,4
9.6,0.32,1.25,5.83,2.28,9,44.2,0.99695,3.22,0.82,18.3,7
8.8,0.37,0.227,1.93,0.748,39,45.7,0.9975,3.04,1.03,12.1,5
6.8,0.5,2.42,3.24,0.337,16,51.2,0.99545,3.36,0.79,18,5
7,0.42,2.46,0.587,0.276,16,42.2,0.9961,3.34,0.55,9.63,5
7,0.43,0.995,4.2,0.148,14,44,0.99615,3.34,0.56,20.3,6
12.8,0.3,1.08,1.81,0.536,9,40.6,0.9994,3.2,0.77,12.8,7
12.8,0.3,0.809,2.78,0.0608,9,46.9,0.9994,3.2,0.77,10.2,7
7.8,0.57,0.743,5.09,0.911,26,39,0.99625,3.29,0.53,9.15,5
7.8,0.44,0.991,3.01,0.357,18,37.6,0.9966,3.22,0.67,8.81,5
11,0.3,1.63,0.646,0.646,7,48,0.998,3.31,0.88,7.53,7
9.7,0.53,1.59,5.69,0.0804,5,46.9,0.99585,3.3,0.86,11,6
8,0.725,1.83,0.732,0.566,10,51.4,0.99685,3.35,0.56,0.565,6
11.6,0.44,0.982,0.129,0.731,5,43.8,0.998,3.21,0.67,18.8,6
8.2,0.57,1.07,7.56,1.56,28,41.9,0.9959,3.3,0.43,15.8,5
7.8,0.735,0.839,0.00661,0.4,10,46.2,0.9974,3.24,0.71,23.8,6
7,0.49,0.23,3.3,0.324,26,37.6,0.9974,3.34,0.76,10.6,5
8.7,0.625,0.491,5.27,0.78,13,45.2,0.9962,3.14,0.57,5.24,5
8.1,0.725,2.52,4.68,1.52,11,48.5,0.9967,3.36,0.55,8.49,5
7.5,0.49,1.44,0.369,0.468,10,40.9,0.9957,3.39,0.54,9.9,5
7.8,0.53,0.9,0.301,1.24,24,47.3,0.99655,3.3,0.6,10.9,5
7.8,0.34,1.04,0.307,1.14,24,34.2,0.9964,3.34,0.59,5.18,6
7.4,0.53,1.56,7.3,2.27,16,41.6,0.9957,3.15,0.57,8.54,5
6.8,0.61,2.02,3.52,1.65,5,47.7,0.99525,3.42,0.6,6.03,5
8.6,0.645,2.19,1.76,3.02,8,54.9,0.99815,3.28,0.6,12.7,6
8.4,0.635,0.437,4.23,0.314,15,45.7,0.99745,3.31,0.57,12.3,4
7.7,0.43,0.052,8.75,1.81,29,44.1,0.99615,3.37,0.58,12.9,6
8.9,0.59,2.84,1.65,0.247,27,43.9,0.9964,3.04,1.61,8.13,6
9,0.82,1.63,3.35,3.7,9,49.3,0.9984,3.39,0.63,0.754,5
7.7,0.43,2.59,1.04,1.47,29,43.1,0.99615,3.37,0.58,14.4,6
6.9,0.52,0.545,4.61,2.47,10,49.6,0.99685,3.46,0.5,6.24,5
5.2,0.48,1.58,1.14,2.82,19,46,0.9927,3.54,0.62,16.7,7
8,0.38,0.916,0.5,1.19,12,46.5,0.99625,3.37,0.52,5.48,6
8.5,0.37,1.91,0.254,1.54,18,40.6,0.998,3.34,0.7,19,6
6.9,0.52,0.509,0.328,4.12,10,47.6,0.99685,3.46,0.5,19.5,5
8.2,1,1.12,0.0352,3.6,7,44.5,0.99685,3.32,0.55,19.8,6
7.2,0.63,3.23,0.285,2.38,14,45,0.99675,3.37,0.58,6.19,6
7.2,0.63,2.31,1.81,2.4,14,36.4,0.99675,3.37,0.58,8.12,6
7.2,0.645,1.69,3.38,1.05,15,46.9,0.99675,3.37,0.58,6.18,6
7.2,0.63,2.56,0.392,0.586,14,51.1,0.99675,3.37,0.58,2.57,6
8.2,1,2.36,0.158,2.53,7,36.9,0.99685,3.32,0.55,16.3,6
8.9,0.635,0.782,3.21,0.826,5,42.3,0.9971,3,1.09,6.48,5
12,0.38,2.69,3.18,0.397,6,45.6,0.99925,3.14,0.71,11.9,6
7.7,0.58,1.84,4.86,2.87,28,47.4,0.99565,3.08,0.49,10.3,6
15,0.21,1.56,6.19,2.08,10,51.2,1.00005,3.07,0.84,10.2,7
15,0.21,1.58,3.94,2.21,10,38.5,1.00005,3.07,0.84,9.96,7
7.3,0.66,2.31,0.476,1.46,6,47,0.9983,3.61,0.96,20.7,6
7.1,0.68,2.19,0.801,2.29,16,45.8,0.99685,3.38,0.52,11.2,5
8.2,0.6,2.66,4.07,0.182,11,43.2,0.9963,3.2,0.45,8.07,5
7.7,0.53,0.71,0.78,1.41,9,48.4,0.99615,3.35,0.48,13.3,6
7.3,0.66,2.48,0.582,3.22,6,56.5,0.9983,3.61,0.96,19,6
10.8,0.32,2.36,0.51,2.85,16,45.6,0.9985,3.22,0.78,8.88,6
7.1,0.6,0.92,1.17,1.51,16,46.1,0.9972,3.47,0.7,22,6
11.1,0.35,0.634,1.34,2.25,5,47.3,0.9986,3.17,0.53,16.9,5
7.7,0.775,2.13,2.03,1.96,8,44.4,0.9959,3.23,0.59,14.8,5
7.1,0.6,1.97,0.289,4.59,16,38.8,0.9972,3.47,0.7,9.94,6
8,0.57,1.48,7.01,1.7,17,48.3,0.99675,3.26,0.57,9.32,5
9.4,0.34,2.57,1.86,1.67,5,35.9,0.998,3.22,0.62,11,5
6.6,0.695,3.09,5.2,0.665,12,45.7,0.9968,3.49,0.67,11.9,5
7.7,0.41,2.13,4.72,1.23,8,45.1,0.9968,3.06,1.26,7.75,5
10,0.31,0.883,1.32,1.01,14,45.2,0.99965,3.36,0.8,10,7
7.9,0.33,0.308,4.8,2.06,18,52.3,0.99625,3.29,0.65,13.7,5
7,0.975,2.49,0.738,0.575,12,41.2,0.99565,3.35,0.6,11.8,4
8,0.52,0.062,2.71,0.458,10,43.3,0.99575,3.34,0.57,12.7,5
7.9,0.37,2.05,3.39,0.887,23,43,0.9963,3.28,0.67,16.4,5
12.5,0.56,0.955,2.48,0.248,5,47.1,0.9999,3.08,0.87,16.3,5
11.8,0.26,1.5,5.82,1.08,6,46.6,0.9968,3.2,0.72,8.51,7
