fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_S_dioxide,total_S_dioxide,density,pH,sulphates,alcohol,quality
8.1,0.87,1.65,11.1,3.57,26,45.9,1.00025,3.6,0.72,11.2,4
7.9,0.35,1.39,0.0565,0.146,15,40.4,0.9973,3.35,0.86,4.41,8
6.9,0.54,1.92,3.88,1.96,7,57.6,0.9987,3.69,0.91,0.373,6
11.5,0.18,0.658,5.01,3.98,4,53.2,0.9996,3.28,0.97,23.7,6
7.9,0.545,1.96,2.62,0.475,27,38.2,0.9965,3.36,0.67,2.29,6
11.5,0.18,2.85,1.09,0.891,4,49.2,0.9996,3.28,0.97,18.5,6
10.9,0.37,1.03,1.31,0.867,17,53.8,0.99935,3.22,0.78,12.9,5
8.4,0.715,1.53,5.45,1.7,10,45,0.99735,3.31,0.64,11.3,5
7.5,0.65,1.56,4.58,0.598,27,53.3,0.99915,3.38,0.77,14.8,5
7.9,0.545,0.184,4.6,1.55,27,47.3,0.9965,3.36,0.67,12,6
6.9,0.54,0.61,0.46,1.35,7,48.5,0.9987,3.69,0.91,2.96,6
11.5,0.18,1.8,1.12,1.46,4,45.8,0.9996,3.28,0.97,7.48,6
10.3,0.32,2.09,2.28,3.39,5,49,0.9976,3.23,0.82,5.71,8
8.9,0.4,1.16,2.3,1.83,10,51.7,0.9991,3.38,0.77,3.85,7
11.4,0.26,0.0146,4.5,0.721,6,45.3,0.9986,3.12,0.82,3.94,6
7.7,0.27,1.48,2.02,2.17,5,45.2,0.9972,3.25,1.08,22.4,7
7.6,0.52,1.46,3.22,0.46,12,45.5,0.9971,3.36,0.57,16,5
8.9,0.4,0.849,1.03,0.207,10,49.1,0.9991,3.38,0.77,1.95,7
9.9,0.59,1.8,1.7,0.156,32,46.9,1.00015,3.31,0.71,17.3,5
9.9,0.59,2.29,0.785,0.242,32,41.1,1.00015,3.31,0.71,9.74,5
12,0.45,3.63,0.0681,2.74,25,38.3,0.9997,3.1,0.76,4.7,6
7.5,0.4,1.78,2.72,2.95,29,44.5,0.9967,3.37,0.7,8.92,6
8.7,0.52,1.1,5.26,0.802,20,47.1,0.9976,3.34,0.86,2.28,7
11.6,0.42,0.108,8.8,0.852,33,54.3,1.001,3.2,0.95,6.39,5
8.7,0.52,0.504,4.07,0.81,20,36.6,0.9976,3.34,0.86,2.53,7
11,0.2,1.39,0.808,0.156,6,55.1,0.9979,3.3,0.71,7.04,5
10.4,0.55,3.02,1.89,2.94,18,42.3,0.9994,3.22,0.64,14,6
6.9,0.36,1.16,0.77,0.261,5,46.8,0.9964,3.41,0.6,5.49,6
13.3,0.34,3.12,0.907,0.292,17,47.6,1.0014,3.05,0.81,11,6
10.8,0.5,0.861,2.11,2.28,5,44.3,1.0001,3.05,0.64,9.5,5
10.6,0.83,1.56,0.566,1.11,26,52.7,0.9981,3.16,0.52,16.6,5
7.1,0.63,2.79,5.25,1.2,8,44.2,0.99855,3.67,0.73,14.2,5
7.2,0.65,0.112,2.11,0.853,5,45.4,0.9993,3.67,0.8,12,5
6.9,0.67,1.3,6.6,3.89,8,46.9,0.99845,3.68,0.71,6.06,5
7.5,0.53,1.4,1.56,1.54,20,48.5,0.9965,3.38,0.59,8.69,6
11.1,0.18,1.64,3.17,1.06,7,49.3,0.9973,3.22,0.64,11.2,6
8.3,0.705,3.34,3.67,1.96,12,36.7,0.9994,3.51,0.72,15.2,5
7.4,0.67,1.72,6.42,0.414,5,53.3,0.996,3.39,0.54,12.9,5
8.4,0.65,0.907,1.54,0.00387,12,48.9,0.9973,3.2,0.52,14.3,5
10.3,0.53,2.01,0.418,0.338,6,38.8,0.9998,3.12,0.59,4.97,6
7.6,0.62,2.05,0.133,1.47,7,40.2,0.9966,3.36,0.52,5.36,5
10.3,0.41,1.55,3.16,0.643,6,43.8,0.9994,3.19,0.62,8.75,6
10.3,0.43,0.273,3.38,1.4,5,53.4,0.9994,3.19,0.63,3.89,6
7.4,0.29,0.977,2.93,1.31,9,46.6,0.9968,3.41,0.53,11.2,6
10.3,0.53,1.48,0.73,2.09,6,34,0.9998,3.12,0.59,12.2,6
7.9,0.53,0.482,3.19,0.876,15,44.8,0.996,3.27,0.54,14.2,6
9,0.46,1.46,4.41,3.66,19,41,0.99815,3.32,0.63,16,6
8.6,0.47,1.63,11.1,3.52,30,45.6,0.9976,3.3,0.53,18.2,5
7.4,0.36,1.51,3.55,1.36,26,36.1,0.99645,3.39,0.68,4.87,5
7.1,0.35,3.08,2.79,2.12,20,37.8,0.9962,3.42,0.65,14.8,6
9.6,0.56,2.71,1.34,0.594,37,51.1,0.9996,3.3,0.65,3.75,5
9.6,0.77,0.162,1.79,1.72,30,44.4,0.99865,3.3,0.64,14.7,6
9.8,0.66,0.296,1.28,2.59,21,50.6,0.9989,3.37,0.71,7.5,7
9.6,0.77,1.72,7.02,3.93,30,56.1,0.99865,3.3,0.64,15.3,6
9.8,0.66,1.56,0.275,1.29,21,42.3,0.9989,3.37,0.71,9.7,7
9.3,0.61,0.295,4.33,1.09,25,50.5,0.99975,3.24,0.62,0.981,5
7.8,0.62,1.74,4.81,1.14,6,41.7,0.99735,3.29,0.63,6.07,5
10.3,0.59,2.04,2.7,0.726,35,45.3,0.999,3.28,0.7,7.32,6
10,0.49,1.63,0.269,0.284,13,50.5,1.0015,3.16,0.69,8.85,6
10,0.49,2.82,1.68,1.99,13,40.6,1.0015,3.16,0.69,12.2,6
11.6,0.53,1.55,2.93,0.185,6,39.9,0.9978,3.05,0.74,20.8,7
10.3,0.44,1.95,2.45,1.94,5,44.5,0.998,3.28,0.83,1.92,5
13.4,0.27,1.55,5.44,1.44,6,46.7,1.0002,3.16,0.67,3.92,6
10.7,0.46,0.766,1.61,3.32,7,43.2,0.9981,3.18,0.62,8.93,5
10.2,0.36,1.4,2.89,1.24,10,47.6,0.998,3.23,0.66,11.1,6
10.2,0.36,2.01,8.53,2.9,10,45.1,0.998,3.23,0.66,8.89,6
8,0.58,1.17,2.94,1.83,21,51.5,0.9973,3.22,0.54,21.9,6
8.4,0.56,2.57,6.21,0.601,16,37.7,0.9958,3.13,0.52,6.11,5
7.9,0.65,1.34,2.38,1.55,17,48.5,0.9963,3.34,0.74,16.9,7
11.9,0.695,0.245,6.25,1.01,7,40.1,0.9992,3.17,0.84,11.4,7
8.9,0.43,1.21,4.12,0.293,6,44.2,0.9948,3.35,0.7,11.2,6
7.8,0.43,2.23,1.16,3.23,29,42.5,0.9974,3.31,0.64,10.2,5
12.4,0.49,1.93,9.25,0.339,28,47.3,1.0008,3.16,1,17.5,6
12.5,0.28,0.751,6.85,1.04,12,49.8,0.9997,3.11,1.36,7.49,7
12.2,0.34,1.25,2.31,2.42,10,47.2,1,3.12,1.18,14.3,6
10.6,0.42,1.05,4.76,0.42,5,39.1,0.9972,3.21,0.87,6.98,6
10.9,0.39,2.78,4.37,0.0624,6,51.4,0.9982,3.3,0.75,16.5,6
10.9,0.39,2.68,0.383,1.1,6,43,0.9982,3.3,0.75,13.5,6
11.9,0.57,0.382,2.25,2.68,6,49.1,1.0006,3.12,0.78,6.59,6
7,0.685,1.32,6.77,1.86,40,41.5,0.9979,3.6,0.81,7.39,5
6.6,0.815,0.498,1.96,2.34,17,55,0.9955,3.58,0.89,13.7,7
13.8,0.49,2.16,1.03,1.34,6,48.3,0.9986,3.02,0.93,6.93,6
9.6,0.56,0.209,3.72,0.195,15,41.9,0.9979,3.11,0.92,5.19,6
9.1,0.785,1.75,3.43,3.1,11,41.7,0.9994,3.36,0.86,3.33,6
10.7,0.67,0.759,4.51,0.857,17,42.7,1.0004,3.28,0.98,11.2,6
9.1,0.795,1.43,0.893,0.234,11,44.4,0.9994,3.35,0.83,18.4,6
7.7,0.665,1.71,5.34,3.48,8,47.6,0.9974,3.27,0.73,0.338,5
13.5,0.53,0.578,0.186,0.36,23,44.7,1.0018,3.18,0.77,7.39,5
6.1,0.21,2.41,1.31,0.55,40.5,49.1,0.9912,3.25,0.59,4.93,6
6.7,0.75,1.73,1,0.725,17,48.9,0.9955,3.55,0.61,10.3,6
11.5,0.41,1.82,3.19,1.07,29,41.6,1.0001,3.26,0.88,13.4,5
10.5,0.42,2.31,0.404,2.99,12,42.7,0.997,3.24,0.75,19.5,7
11.9,0.43,0.225,1.4,0.402,10,34.9,1,3.15,0.85,8.92,7
12.6,0.38,2.62,7.24,0.663,10,43.4,1.001,3.17,0.68,6.5,6
8.2,0.7,2.24,0.337,3.5,14,45.7,0.9973,3.19,0.7,13.2,5
8.6,0.45,1.62,3.23,4.65,21,41.7,0.9982,3.37,0.91,4.31,6
11.9,0.58,1.99,3.64,0.186,6,43.2,0.9992,3.05,0.56,1.2,5
12.5,0.46,0.468,6.5,0.834,6,37.8,0.9988,2.99,0.87,18,5
12.8,0.615,0.584,1.21,4.34,7,45.6,1.0022,3.07,0.73,12.5,7
10,0.42,2.15,1.95,1.62,7,55,0.9979,3.26,0.93,14.8,6
12.8,0.615,2.24,1.61,0.294,7,42.9,1.0022,3.07,0.73,0.865,7
10.4,0.575,0.468,1.41,1.32,11,45.1,1,3.16,0.69,10.6,5
10.3,0.34,2,4.55,0.186,15,50.1,0.9998,3.18,0.64,3.33,5
9.4,0.27,1.06,1.01,1.35,6,52,0.9962,3.2,1.13,12.4,7
6.9,0.765,0.726,3.81,0.594,35,39.6,0.9975,3.57,0.78,3.71,5
7.9,0.24,1.19,3.85,0.645,11,41.5,0.9967,3.32,0.87,6.07,6
9.1,0.28,3.17,9.71,1.35,26,56.9,0.9967,3.32,1.04,8.08,6
7.4,0.55,1.48,3.9,1.62,12,48.5,0.9959,3.05,0.63,4.72,5
14,0.41,3.34,3.02,1.86,6,56,1.0014,3.01,0.81,15.3,6
11.5,0.54,1.42,6.99,0.0983,6,48,0.9984,3.01,0.83,5.7,7
11.5,0.45,0.544,2.71,0.615,19,49.9,1.0003,3.26,1.11,16.8,6
9.4,0.27,2.01,2.42,0.224,6,53.9,0.9962,3.2,1.13,2.5,7
11.4,0.625,1.21,5.46,2.14,6,46.1,0.9988,3.11,0.99,13.9,6
8.3,0.42,1.74,0.304,0.406,24,42,0.9979,3.31,0.7,14.7,6
8.3,0.26,1.1,0.565,0.168,11,41.6,0.9974,3.21,0.8,11.7,6
13.7,0.415,0.324,3.98,4.12,17,52.7,1.0014,3.06,0.8,6.23,6
8.3,0.26,0.94,10.1,0.823,11,44,0.9974,3.21,0.8,19.5,6
8.3,0.26,0.478,2.73,0.222,11,39.5,0.9974,3.21,0.8,7.71,6
7.7,0.51,0.262,4,1.78,23,50.7,0.998,3.42,0.74,19.3,5
7.4,0.63,0.673,4.42,0.369,11,46.8,0.9979,3.43,0.76,12.2,6
7.8,0.54,1.05,0.583,0.289,23,48.3,0.9981,3.41,0.74,13.4,6
8.3,0.66,1.73,0.645,0.796,17,51.9,0.9972,3.31,0.54,19.5,6
7.8,0.46,1.1,3.77,1.74,23,53.9,0.9981,3.43,0.74,11.9,6
9.6,0.38,1.94,3.54,3.05,16,46.6,0.9982,3.19,0.7,9.63,7
5.6,0.85,3.79,5.04,0.85,12,42.9,0.9924,3.56,0.82,0.333,8
13.7,0.415,2.47,6.26,0.0701,17,44.6,1.0014,3.06,0.8,20.8,6
9.5,0.37,1.99,7.96,1.14,6,48.6,0.998,3.18,0.51,13.8,5
8.4,0.665,1.88,1.4,1.45,13,51.1,0.997,3.16,0.54,14.8,5
12.7,0.6,2.39,6.67,1.94,6,55.9,0.9997,3.03,0.57,7.01,5
12,0.37,0.276,5.87,2.14,7,50.6,1.0004,3.22,0.6,4.95,7
6.6,0.735,0.0345,0.205,1.3,68,56.5,0.9994,3.47,0.53,9.47,5
11.5,0.59,3.72,3.23,0.561,13,44.6,0.9988,3.18,0.65,20.4,6
11.5,0.59,2.82,4.74,1.23,13,50,0.9988,3.18,0.65,15.3,6
8.7,0.765,0.981,2.54,1.5,9,41.8,0.9963,3.1,0.55,17.4,5
6.6,0.735,1.87,1.62,1.22,68,43.9,0.9994,3.47,0.53,6.87,5
7.7,0.26,2.32,0.00444,0.206,20,48.7,0.9949,3.29,0.47,14.5,6
12.2,0.48,2.37,5.13,0.194,19,43.6,1,3.1,0.61,3.03,6
11.4,0.6,2.45,4.07,4.33,10,48.4,0.9994,3.15,0.63,11.6,6
7.7,0.69,1.39,0.581,1.23,15,46.5,0.9974,3.26,0.61,7.1,5
8.7,0.31,1.14,0.492,4.22,11,49.8,0.9966,3.36,0.76,19.1,6
9.8,0.44,2.28,4.57,3.59,9,41.4,0.9981,3.24,0.65,6.32,6
12,0.39,1.23,1.7,2.68,12,41.1,0.9996,3.18,0.63,8.65,7
10.4,0.34,0.0488,3.97,2.49,6,45.3,0.997,3.19,0.7,5.01,6
12.5,0.46,0.856,3.3,5.9,26,46.1,0.9981,3.05,0.57,14.1,4
9,0.43,0.588,1.67,0.338,26,46,0.9987,3.38,0.62,16.2,6
9.1,0.45,2.35,2.81,2.16,23,46.7,0.9987,3.38,0.62,21.3,5
7.1,0.735,0.534,2.24,0.536,15,44.2,0.9966,3.27,0.64,17.7,5
9.9,0.4,1.14,1.22,1.69,6,39.2,0.9986,3.27,0.82,5.96,7
8.8,0.52,0.0918,3.86,1.54,24,47.5,0.9982,3.26,0.61,5.95,5
8.6,0.725,0.826,1.1,1.11,31,58.1,1.0014,3.32,1.07,6.84,5
10.6,0.48,1.78,2.78,1.07,6,47,0.997,3.26,0.66,18.7,6
7,0.58,0.45,4,2.66,34,37,0.9956,3.44,0.48,13.4,5
11.9,0.38,2.52,3.64,0.409,7,42.1,0.9996,3.24,0.76,2.23,6
6.8,0.77,1.46,3.96,0.438,34,43.8,0.9976,3.62,0.68,6.4,5
9.5,0.56,2.89,1.06,0.387,35,44.7,0.9972,3.28,0.73,5.52,7
6.6,0.84,1.91,2.37,0.511,32,44.1,0.9952,3.52,0.56,2,7
7.7,0.96,2.7,4.28,2.08,15,35,0.9955,3.36,0.44,6.77,5
10.5,0.24,2.62,0.403,0.393,6,49,0.9978,3.15,0.9,17.9,7
7.7,0.96,1.49,0.552,0.446,15,44.2,0.9955,3.36,0.44,9.38,5
6.6,0.84,2.52,2.64,0.974,32,45.5,0.9952,3.52,0.56,8.22,7
6.4,0.67,3.35,1.08,1.31,19,39.6,0.9949,3.49,0.49,9.19,6
9.5,0.78,0.994,1.04,0.782,6,49.6,0.9988,3.26,0.56,23.4,6
9.1,0.52,0.291,5.56,0.934,9,42.8,0.9978,3.24,0.6,5.73,5
12.8,0.84,0.854,1.62,2.99,13,45.5,0.9997,3.1,0.6,2.15,6
10.5,0.24,3.27,1.44,0.372,6,47.5,0.9978,3.15,0.9,19.8,7
7.8,0.55,0.411,4.35,2.25,21,42,0.9974,3.25,0.56,9.63,5
11.9,0.37,0.822,5.45,5.8,12,38.8,0.9958,3,0.65,11,6
12.3,0.39,1.23,4.54,2.14,6,43.3,1.0004,3.16,0.49,14.6,5
10.4,0.41,1.78,2.56,2.15,22,45.6,0.9996,3.15,0.89,8.24,6
12.3,0.39,1.82,1.77,2.53,6,53.5,1.0004,3.16,0.49,10.4,5
8,0.67,3.31,2.74,4.97,38,48.1,0.9958,3.26,0.56,3.53,6
11.1,0.45,2.94,3.44,2.8,6,50.5,0.9986,3.17,0.66,17.4,6
10.4,0.41,3.52,3.54,1.8,22,51.5,0.9996,3.15,0.89,14.8,6
7,0.62,2.48,1.01,1.63,7,48,0.9951,3.08,0.6,6.47,5
12.6,0.31,0.708,6.67,1.82,6,50.4,0.9987,2.88,0.82,2.39,8
11.9,0.4,0.366,6.82,1.16,7,48.2,0.9988,3.06,0.68,21.9,6
15.6,0.685,1.61,0.988,2.39,6,41.6,1.0032,2.95,0.68,13.9,7
10,0.44,1.09,4.47,3.52,11,38.8,0.9963,3.23,0.63,15.1,7
5.3,0.57,2.49,2.03,0.719,5,46,0.9934,3.57,0.84,20,7
9.5,0.735,1.88,1.61,1.26,6,45.8,0.9986,3.23,0.56,18.4,6
12.5,0.38,1.51,2.01,1.55,31,47.4,0.9996,3.1,0.73,2.4,5
9.3,0.48,0.923,3.84,1.41,6,46.7,0.9968,3.22,0.72,14.1,5
8.6,0.53,2,6.73,2.37,7,44.2,0.9967,3.2,0.56,18.1,6
11.9,0.39,2.09,1.74,2.29,17,47.2,0.9994,3.1,0.61,8.62,6
11.9,0.39,2.52,1.77,0.113,17,41.7,0.9994,3.1,0.61,14.8,6
8.4,0.37,1.06,5.81,2.48,9,45.1,0.9979,3.06,1.06,19.9,6
6.8,0.56,2.29,3.41,1.99,18,47.9,0.9968,3.44,0.63,8.32,6
10.4,0.33,1.5,4.85,0.321,5,40,0.9998,3.26,0.74,12.4,7
7,0.23,1.62,1.83,1.87,21,44,0.9952,3.5,0.63,14.3,5
11.3,0.62,0.162,5.1,4.22,6,44.9,0.9988,3.22,0.69,3.22,8
8.9,0.59,1.66,2.51,0.856,5,49,0.9986,3.37,0.58,10.9,5
9.2,0.63,2.37,0.225,2.76,29,45.8,0.9988,3.28,0.58,2.8,5
10.4,0.33,2.06,3.51,0.913,5,56.7,0.9998,3.26,0.74,10.6,7
11.6,0.58,2.28,4.66,0.132,10,44.5,1.0008,3.25,0.57,22.1,3
9.2,0.43,1.04,0.059,1.76,14,50.6,0.9976,3.35,0.61,12.6,6
8.3,0.615,3.8,6.54,1.54,6,44.2,0.9982,3.26,0.61,0.593,5
11,0.26,0.865,0.313,3.26,10,44.3,0.997,3.18,0.61,9.33,5
8.1,0.66,0.452,3.38,1.2,25,53.9,0.9972,3.08,0.53,10.5,5
11.5,0.315,0.311,0.29,1.63,5,38.7,0.9987,2.98,0.7,9.28,6
10,0.29,1.43,3.14,0.796,10,46.7,1.0006,3.48,0.91,8,5
10.3,0.5,0.522,7.99,1.72,21,46,0.9982,3.16,0.72,15.5,6
8.8,0.46,0.864,0.0651,1.8,7,49,0.9947,3.32,0.79,12.6,6
11.4,0.36,1.27,4.11,5.3,6,40.5,1,3.17,0.62,5.93,6
8.7,0.82,0.413,5.48,0.309,36,38.4,0.9952,3.2,0.58,7.22,5
13,0.32,1.39,3.14,2.4,15,45.3,0.9996,3.05,0.61,4.57,5
9.6,0.54,0.622,1.03,1.29,25,46,0.997,3.2,0.71,14.8,6
12.5,0.37,3.36,3.98,2.87,25,47.1,0.9995,3.15,0.82,7.42,6
9.9,0.35,0.275,4.48,1.64,5,47.2,0.9971,3.26,0.79,8.94,5
10.5,0.28,3.08,4.1,1.23,10,45.9,0.9982,3.2,0.89,5.24,6
9.6,0.68,1.5,6.2,2.44,5,51.7,0.9988,3.14,0.6,15,5
9.3,0.27,2.62,0.114,1.26,6,47.3,0.998,3.28,0.7,13.8,5
10.4,0.24,0.96,1.49,1.77,6,40.7,0.9977,3.18,1.06,3.51,6
9.6,0.68,0.445,0.157,1.42,5,54,0.9988,3.14,0.6,6.7,5
9.4,0.685,2.75,6.53,4.72,6,48.4,0.9984,3.19,0.7,3.32,6
10.6,0.28,0.405,1.94,0.308,6,60.8,1.0026,3.12,0.66,17.7,5
9.4,0.3,2.52,2.77,2.67,6,41.2,0.9964,3.15,0.92,15.7,8
10.6,0.36,1.1,0.597,0.537,6,47.8,0.9986,3.04,1.05,13.5,5
10.6,0.36,2.31,0.218,1.42,7,44.4,0.9986,3.04,1.06,5.34,5
10.6,0.44,2.39,0.878,2.37,6,42.2,0.997,3.06,0.66,11.3,6
10.2,0.67,1.08,2.25,1.46,6,40.9,0.9976,3.17,0.47,4.97,5
10.2,0.67,2.19,2.78,2.94,6,54.8,0.9976,3.17,0.47,3.92,5
10.2,0.645,1.52,3.25,0.552,5,41,0.9982,3.17,0.42,8.14,6
11.6,0.32,1.73,3.26,3.12,35,42.1,1.0002,3.32,0.92,6.36,7
9.3,0.39,0.398,2.64,3.74,10,44.5,0.9984,3.34,0.75,8.52,6
9.3,0.775,1.7,3.47,1.07,24,34.2,0.9984,3.31,0.67,17.1,6
9.2,0.41,1.15,2.21,0.249,12,45.3,0.9952,3.34,0.79,23.8,7
8.9,0.4,1.36,0.043,1.53,13,45.6,0.995,3.32,0.9,10.2,7
8.7,0.69,0.173,9.22,1.74,23,38.9,1.0002,3.48,0.74,15.5,6
6.5,0.39,2.85,3.03,0.252,28,50,0.9952,3.44,0.55,16.8,6
10.7,0.35,2.05,2.73,0.519,5,40.9,0.9972,3.15,0.65,12,8
7.8,0.52,0.994,0.251,0.123,14,45.4,0.9984,3.43,0.65,5.75,6
7.2,0.34,1.91,1.88,1.53,43,46.6,0.9966,3.32,0.79,9.29,5
10.7,0.35,1.29,2.03,1.71,5,48.8,0.9972,3.15,0.65,15.4,8
8.7,0.69,1.64,2.98,0.0742,23,46.4,1.0002,3.48,0.74,16.5,6
7.8,0.52,0.0653,0.105,0.858,14,35.7,0.9984,3.43,0.65,14.6,6
10.4,0.44,1.99,1.27,0.343,38,42.5,0.999,3.17,0.85,9.22,7
10.4,0.44,0.449,4.3,2.93,38,45.3,0.999,3.17,0.85,10.4,7
10.5,0.26,0.841,0.821,0.422,6,46,0.9976,3.18,1.04,14.9,7
10.5,0.24,1.34,1.17,1.18,6,53.2,0.9976,3.21,1.05,7.58,7
10.2,0.49,0.943,1.6,0.453,10,56.6,0.9968,3.16,0.78,6.23,7
10.4,0.24,2.02,6.76,0.709,6,45.4,0.9976,3.25,1.02,7.2,7
11.2,0.67,0.428,3.43,2.18,6,55.4,1,3.17,0.71,17.7,6
10,0.59,1.9,1.39,0.912,26,47.7,0.9994,3.18,0.63,13.3,6
13.3,0.29,2.04,2.1,1.53,23,50.2,0.9986,3.04,0.68,21.7,7
12.4,0.42,2.16,3.18,1.33,19,41.9,0.9978,3.02,0.61,5.71,5
10,0.59,1.29,3.71,4.01,26,47.9,0.9994,3.18,0.63,8.32,6
10.7,0.4,2.9,1.54,1.36,15,41.2,0.998,3.03,0.81,7.74,6
10.5,0.51,0.941,7.46,2.35,6,37.8,0.9973,3.09,0.66,6.13,7
10.5,0.51,1.27,1.8,1.56,6,45.2,0.9973,3.09,0.66,4.88,7
8.5,0.655,1.39,4.87,3.27,34,42.2,1.001,3.31,1.14,15.5,5
12.5,0.6,3.06,2.12,1.55,5,47.5,1.001,3.25,0.74,14.2,6
10.4,0.61,1.52,6.06,3.72,5,45.1,0.9994,3.16,0.63,12.8,3
10.9,0.21,1.58,2.31,0.42,11,53.6,0.9972,3.22,0.68,5.37,6
7.3,0.365,2.97,0.0753,2.4,39,42.1,0.9966,3.36,0.78,14.5,5
9.8,0.25,0.981,0.175,1.55,15,45.6,0.9982,3.42,0.9,10.6,6
7.6,0.41,2.06,3.69,1.07,16,45.7,0.998,3.48,0.64,9.77,5
8.2,0.39,0.284,4.86,0.465,47,36.5,0.9979,3.38,0.99,7.6,5
9.3,0.4,1.94,3.97,1.79,38,42.6,0.9978,3.22,0.55,19.3,5
9.2,0.43,2.41,1.64,1.37,23,54.1,0.9976,3.23,0.64,5.74,5
10.4,0.64,2.58,9.38,2.49,29,54.6,0.9998,3.24,0.67,14,5
7.3,0.365,1.28,2.87,0.342,39,42.5,0.9966,3.36,0.78,14.5,5
7,0.38,1.14,1.01,2.65,33,36.5,0.9962,3.39,0.77,9.91,6
8.2,0.42,1.38,0.157,2.08,32,44.6,0.9988,3.34,0.75,12,6
9.9,0.63,4.13,0.205,1.59,6,46.1,0.9974,3.09,0.57,14.1,5
9.1,0.22,1.83,5.82,3.77,1,42.3,0.999,3.41,0.87,6.84,6
11.9,0.38,1.83,5.9,3.93,12,42.8,1.0004,3.16,0.61,0.384,5
11.9,0.38,1.18,4,0.255,12,54.7,1.0004,3.16,0.61,2.77,5
10.3,0.27,1.44,6.14,1.53,15,41,0.9956,3.22,0.66,9.51,6
